,Per Capita GDP,Life Expectancy,Females in Labor Force,Internet Users,Mobile Cellular Subscriptions,High Tech Exports,Women in National Parliament,Electric Power Consumption,Improved Water Source,Primary Education Enrollment 
Albania,4412.345578,77.64046341,41.17663517,57.2,116.1572081,0.513330673,17.9,2531.888539,95.1,95.54573822
United Arab Emirates,42831.08913,77.19563415,13.00612812,88,171.8737993,3.177578231,17.5,10904.45132,100,87.55709839
Australia,67652.68321,82.14878049,45.38381602,83,106.8434974,12.90999462,26,10133.85918,100,97.35562897
Azerbaijan,7811.621418,70.69058537,48.88199057,58.7,107.6134072,13.42318223,16,2092.536521,75.3,93.5072937
Belgium,46622.46799,80.58780488,45.73660163,82.1702,110.9031799,11.48752156,38,7966.686748,100,98.87512207
Bulgaria,7656.638506,74.86097561,46.572502,53.0615,145.1876887,7.960635886,24.6,4639.706323,99,95.17063904
Bosnia and Herzegovina,4748.040692,76.27692683,38.01695034,57.79,91.09530785,2.301306161,21.4,3219.012364,99.7,97.87940216
Belarus,7722.123351,72.47073171,48.68706275,54.17,118.786176,4.399741122,26.6,3648.320304,99.1,92.84977722
Brazil,12071.77799,74.12243902,43.70370815,51.04,135.3050481,9.63455019,8.6,2529.30371,86.2,90.35398102
Botswana,6806.677467,64.36080488,47.12834111,15,160.6410528,0.375552003,7.9,1563.512228,92.3,91.02085876
Canada,52266.17568,81.76504878,47.20848469,85.8,80.61008074,14.08609928,24.7,15519.33597,99,99.45674133
Switzerland,84669.29294,82.79756098,46.1451997,86.34,136.7772396,26.5137543,29,7807.306054,100,93.63890076
Chile,15764.75545,81.19792683,40.6706759,66.5,134.2890529,4.912490984,14.2,3878.905768,93.3,92.48126984
Cote d'Ivoire,1447.222821,51.20846341,37.83099334,8.4,95.44605196,1.344313187,10.4,252.3761139,68.7,68.95007324
Colombia,8030.690861,73.80973171,42.49916475,51.7,104.0845439,7.393976584,12.1,1177.106432,73.8,90.47579193
Costa Rica,10461.57751,79.22521951,37.18552096,45.96,145.9716479,43.32211704,38.6,1954.558792,91.9,97.4184494
Cyprus,27909.10721,79.94978049,43.14347372,65.4548,96.35942536,7.152688492,10.7,3594.790707,100,97.29695129
Germany,45600.77451,80.84390244,45.86419641,84.17,120.9211651,16.08006832,36.5,7019.014692,100,98.46910858
Denmark,60361.73877,80.3,47.62453049,94.6297,127.1176716,14.38723671,39.1,6039.610097,100,98.35458374
Dominican Republic,5952.329007,73.31990244,39.99116397,45.9,88.43350015,3.757528451,20.8,1516.523807,81.4,85.69438171
Ecuador,6051.611129,75.6485122,40.21649261,40.35368423,105.6444776,4.356496728,38.7,1333.157784,74.9,96.93393707
Spain,29370.66387,83.07804878,45.54856526,71.635,106.8867146,7.666208168,36,5401.045838,100,99.46488953
Estonia,19155.42125,77.14146341,49.09221927,79.4,159.6607033,10.54693023,20.8,6664.658569,98.8,97.25775909
Finland,49638.07713,80.97560976,47.70876443,91.5144,136.578674,7.214471688,42.5,15509.73235,100,99.51009369
France,42571.19799,82.2195122,47.05447225,81.9198,98.49547248,25.89666503,26.9,7373.981154,100,98.72808838
United Kingdom,42294.89012,81.00487805,45.9131525,89.8441,124.6098071,21.86453817,22.5,5407.291323,100,99.82743835
Ghana,1827.101368,61.14207317,49.8083314,12.3,108.1911482,4.882632009,10.9,382.3129048,80.4,86.83165741
Greece,21842.70331,81.28536585,42.78733354,59.8663,116.8206478,7.537909856,21,5028.995794,100,97.17147064
Guatemala,3432.021781,71.48639024,38.09228012,19.7,140.393535,4.742380868,13.3,555.038869,86.8,88.67812347
Hungary,13585.43018,75.56585366,45.82516267,72.6439,116.4278724,16.3424836,8.8,3890.294248,100,90.85138702
Indonesia,3631.672694,68.70460976,37.96560333,14.94,125.3581426,7.052715262,18.6,787.6800174,78,90.15293884
India,1456.201628,67.66041463,24.17098063,15.1,70.78318167,8.073939853,11,765.0034087,91.5,92.258461
Ireland,51814.8593,81,44.39400397,78.2477,105.4810788,22.42478894,15.7,5701.897269,97.8,94.91729736
Israel,36281.1999,82.05609756,46.75216908,70.8,122.8478352,15.60532239,22.5,6558.719524,100,96.87254333
Italy,35367.60305,82.6902439,41.83702971,58.4593,158.8172931,7.244384051,31.4,5159.183655,100,97.64186859
Japan,38549.67801,83.33195122,42.63777047,89.71,116.3154258,16.78429411,8.1,7835.603937,100,99.94999695
Kazakhstan,14310.02502,70.45,49.29990033,54,184.6947548,36.70115514,24.3,4892.495131,85.8,86.19983673
Kyrgyz Republic,1282.437162,70.20243902,42.55999014,23,121.4498189,5.28717548,23.3,1887.020071,83.9,90.375
Kuwait,48463.15167,74.46968293,27.09239558,75.46,190.2883477,1.4315887,6.2,14910.58353,99,92.12458801
Lebanon,8388.973333,79.13370732,24.13235423,70.5,80.56367407,2.214370984,3.1,3194.066945,99,86.58730316
Sri Lanka,3610.195174,74.65382927,33.40470631,21.9,95.49632054,0.992280244,5.8,525.8758929,93.6,96.38272095
Lithuania,15694.09629,73.91463415,50.15144763,68.4529,151.3449586,10.33111769,24.1,3663.671197,89.6,97.99391937
Luxembourg,113726.639,81.8,44.2395321,93.7765,148.6426713,6.583517663,23.3,14193.16843,100,92.45726776
Latvia,15015.83468,73.98292683,49.94646353,75.2344,124.7611955,13.01214609,23,3472.541385,97.9,97.8290329
Morocco,3153.772019,73.70904878,26.97726275,56,128.5252097,6.550950786,17,866.2383642,65.3,97.64438629
Moldova,2243.979662,71.17204878,48.53485942,45,106.0114063,2.361125694,19.8,1352.792108,80.9,87.85463715
Mexico,10197.44456,76.53265854,37.16783365,43.46,87.26062913,15.92476176,36.8,2056.964408,90.8,95.61473846
Malta,22776.19469,81.74634146,36.6152183,68.9138,129.7545011,38.55289676,14.3,4735.765541,100,92.92920685
Mongolia,4400.614515,69.06180488,45.74369891,20,101.3564639,15.8502286,14.9,1908.942932,55.6,94.82492065
Mozambique,605.2344447,54.6415122,53.27605607,5.4,48.00421557,13.35482884,39.2,435.5960854,37,86.54164886
Mauritius,9479.86959,74.01707317,37.87432511,39,123.2398186,0.560520442,18.8,2148.328411,99.8,96.28112793
Namibia,5420.81169,64.34387805,48.54770497,13.9,118.4342133,1.717092796,24.4,1610.846709,82.6,89.74369812
Niger,417.6703093,60.82814634,31.09666172,1.7,39.2922097,52.44546676,13.3,48.64135649,47.8,61.77870941
Norway,102910.435,81.75121951,47.12582989,95.0534,116.268422,19.14261481,39.6,23325.74681,100,99.86459351
Nepal,692.3363094,69.222,50.79524843,13.3,76.84979601,0.298067823,33.2,128.1481026,89.5,98.83075714
New Zealand,42928.09633,81.40731707,47.2201774,82.78,105.7756947,10.25362493,32.2,9084.216924,100,98.26602936
Oman,20011.34778,76.84104878,14.05306324,66.45,154.6459078,3.414128177,1.2,5981.450312,86.1,94.35671997
Pakistan,1275.71275,65.96368293,22.11493118,10.9,70.13037598,1.883133033,20.7,449.9685931,89.3,70.05567932
Panama,11786.63317,77.41921951,37.51568619,44.03,160.5684015,0.046025679,8.5,2038.004742,86.9,95.8973465
Peru,6609.713369,74.28385366,45.19498576,39.2,98.08298127,3.580817823,21.5,1269.766551,67.2,93.1593399
Philippines,2786.950468,68.13156098,39.19205401,37,104.5023215,49.23796651,27.1,692.0553461,89.2,95.98439789
Poland,13776.45476,77,45.12492516,62.8492,149.0785439,7.812674057,23.7,3937.650584,96.5,96.94361115
Portugal,21618.73534,80.72195122,48.3314793,62.0956,113.035602,4.308845234,28.7,4685.054787,100,98.7986908
