,Per Capita GDP,Life Expectancy,Females in Labor Force,Internet Users,Mobile Cellular Subscriptions,High Tech Exports,Women in National Parliament,Electric Power Consumption,Improved Water Source,Primary Education Enrollment
Albania,1890.681557,75.52329268,41.24440975,0.971900415,33.95706284,0.95997465,5.7,1469.264539,93.7,91.71031189
United Arab Emirates,34294.894,75.21721951,12.07308577,29.47795341,88.21926159,,0,12659.83378,100,85.01522064
Australia,23440.00532,80.23902439,44.45435547,,71.9035383,13.69851865,25.3,10434.87439,100,94.48014832
Azerbaijan,883.614009,68.00368293,47.63578497,,12.62937463,5.148316951,10.5,2235.459856,62.8,83.28453827
Belgium,30743.95693,78.12926829,43.44144343,49.97,82.86829993,8.941254603,35.3,8411.900657,100,98.05435181
Bulgaria,2693.75876,72.06585366,46.18262021,12.04,44.84272118,4.43462004,26.2,3973.256666,99.3,95.43991852
Bosnia and Herzegovina,2192.647078,74.82436585,36.95117274,3.965036834,27.58857728,1.756544819,16.7,2201.286612,97.1,
Belarus,1819.479028,68.55365854,48.8870522,,11.42668966,3.760012708,10.3,3062.978463,99,93.06314087
Brazil,3040.506496,71.20187805,42.22671187,13.2075861,25.51445011,11.95599512,8.6,1863.627725,78.1,93.17961884
Botswana,4149.041377,50.5245122,47.10969934,3.345190174,24.28121327,0.449420996,17,1305.209016,89.9,84.55010986
Canada,28172.14883,79.83902439,46.35732221,64.2,42.07126881,13.72987327,20.6,17191.15419,99,
Switzerland,47960.56497,80.53658537,45.36367439,65.1,84.90784638,24.74491885,25,8195.120835,100,94.94316864
Chile,4948.74818,77.93297561,33.94053987,25.47377889,45.43908728,4.140212566,12.5,2919.970592,73.7,
Cote d'Ivoire,875.0860951,46.93297561,35.55498533,0.758669629,7.573690548,3.812376911,8.5,175.4562592,67.8,56.53332901
Colombia,2246.257648,71.77690244,41.61444863,7.388923711,14.7740697,6.615023429,12,862.5183434,71.6,
Costa Rica,4245.677021,77.84046341,34.13313905,20.33361481,18.65912118,44.81794394,35.1,1658.761455,89.5,
Cyprus,20110.12017,78.34585366,42.49290822,30.09,55.27790635,3.893275526,10.7,3900.215398,100,96.14328003
Germany,30359.95215,78.3804878,44.54698977,55.9,77.33760059,16.90097477,32.2,7009.726492,100,98.61795807
Denmark,40458.77064,77.14390244,46.42534412,76.26,88.56084311,20.19696105,38,6602.63638,100,
Dominican Republic,2372.629772,71.26682927,37.56966178,7.898392937,23.06075038,3.738553619,17.3,1347.382328,78.9,87.53027344
Ecuador,2440.469164,73.72780488,39.3067164,4.460228345,18.05870507,5.984554912,16,720.1119673,69,97.19965363
Spain,21495.70741,79.6195122,40.34907955,39.93,88.58520439,7.489004231,28.3,5676.140491,100,99.86628723
Estonia,7174.240792,71.31707317,48.10351028,45.32,78.40820096,12.65710496,18.8,5158.602778,97.7,94.52812195
Finland,32816.16088,78.36829268,47.61736753,69.22,91.05950591,23.74179227,37.5,16442.88697,100,98.66113281
France,29691.18158,79.11463415,45.86872765,36.14,68.89744917,19.72053672,12.2,7529.598738,100,98.77490997
United Kingdom,32575.09196,78.44634146,45.50957659,64.82,90.88455695,26.22088859,17.9,6174.550896,100,99.90814972
Ghana,375.8807045,57.78517073,48.93031335,1.193057911,3.918536618,3.68325376,9,222.6994243,62.5,61.59309006
Greece,18477.57841,78.84146341,39.55804004,17.8,81.00455341,12.56773142,8.7,5091.292424,97.4,96.46244812
Guatemala,1743.166097,69.04119512,35.30696166,4.548854908,16.86814086,7.489408617,8.2,448.1702802,78.4,
Hungary,8391.141952,72.3,45.28889847,21.63,78.33164715,25.75538583,9.8,3637.278332,97.5,88.64295959
Indonesia,1065.656546,66.78880488,37.06499027,2.38701978,8.478396795,14.77894292,8,428.8590606,70.5,90.59642792
India,557.8973659,63.77453659,28.8206011,1.686489971,3.080125045,5.947717493,8.8,431.707988,79.6,83.80120087
Ireland,41170.06723,78.13902439,41.55319689,34.31,87.26760636,34.67451384,13.3,6092.548994,97.1,94.80516052
Israel,18946.99942,79.64878049,46.53395223,19.59339366,104.2462475,16.84705661,15,6597.306307,100,98.02005005
Italy,27387.2258,79.98292683,39.22589678,29.04,98.10254268,8.025630617,11.5,5652.519542,100,98.59291077
Japan,33690.93773,81.76,40.98950565,48.43526589,68.48920048,24.42804697,7.1,7815.311859,100,99.99622345
Kazakhstan,2068.123657,65.86585366,49.31110289,2.000414753,9.023272289,8.728163452,10.4,3768.792821,87.8,91.8253479
Kyrgyz Republic,380.5073624,68.25609756,43.60575148,3.908766268,2.760361261,1.961071559,10,1644.359844,72.3,84.96440887
Kuwait,22841.60249,73.51807317,25.64788732,22.40293838,67.09655714,0.109688078,0,16900.8198,99,93.63304138
Lebanon,5425.66907,75.90331707,21.46108286,8,21.55653896,2.135764242,2.3,2963.692204,89.3,95.84390259
Sri Lanka,989.4547732,73.22231707,32.3608415,1.458580228,7.144934955,0.684796435,4.4,328.6694964,80.3,99.61672974
Lithuania,5505.535669,72.06097561,49.67440227,25.91,62.22474478,4.790428512,10.6,3087.655148,82.1,93.15036774
Luxembourg,64669.93972,77.72682927,40.87896846,54.55,120.5827345,12.02214484,16.7,16258.88449,100,94.90769196
Latvia,5128.97182,71.26585366,48.77584845,26.98,53.30713618,4.58911383,21,2493.930169,95.8,
Morocco,1724.525079,69.64536585,26.74414808,3.353366681,24.87540363,11.34644242,10.8,581.0613838,60,85.21161652
Moldova,548.2896867,67.38739024,49.86264212,7.407544584,12.21462166,3.326060189,12.9,2101.927717,76.6,92.66272736
Mexico,6673.166974,74.9375122,33.59456202,12.9,27.85371761,21.39909612,22.6,1719.344373,77.1,96.39093781
Malta,12844.58799,78.54634146,31.09355632,31.64,70.42230263,60.00496664,7.7,4872.272205,100,
Mongolia,646.1191681,64.29626829,46.58726957,,12.92233031,0.205526891,10.5,1139.306898,37.8,82.55950928
Mozambique,280.8725683,49.81158537,54.65910544,0.419538844,2.192657947,6.890879821,30,363.2486867,29.5,
Mauritius,4623.351784,72.12130081,34.69180465,12.1871062,38.40059593,5.278176301,5.7,1561.765991,99.1,93.72853851
Namibia,2489.893946,54.27897561,46.1699119,3.359839886,11.28946209,2.629023676,26.4,1109.803381,72.1,89.32745361
Niger,218.047123,52.65456098,31.15382828,0.155698704,0.672145676,3.339791007,1.2,30.09565549,39.5,38.0164299
Norway,50111.65445,79.3902439,47.0223542,78.13,89.05301366,16.83238244,36.4,23201.39413,100,99.85574341
Nepal,254.5539382,64.32043902,48.81861645,0.382810917,0.333803225,0.122198189,5.9,71.13302157,77.9,80.40180206
New Zealand,21913.70817,79.14634146,46.0221688,60.96253987,64.64038903,9.552768031,28.3,9407.032181,100,97.80169678
Oman,9070.494699,73.62441463,18.80241868,7.255742945,24.86270055,5.742788325,,3551.251009,78.1,81.20987701
Pakistan,565.3238448,63.45834146,16.13499311,5.041158126,1.577483539,1.211536301,21.6,411.0789205,86,61.0006218
Panama,4275.983502,75.63531707,36.5619985,9.987424077,21.36524721,1.353365007,9.9,1364.866506,78.5,
Peru,2191.37156,71.7764878,42.88525255,11.6,10.82372419,2.638674463,17.5,764.986309,57.1,99.53690338
Philippines,1011.286644,67.03892683,38.23103974,4.857672267,27.24973903,73.6373154,17.8,555.9724713,84.1,89.86772156
Poland,5693.377763,74.59756098,45.69201218,24.87,45.49288418,3.073919768,20.2,3324.471392,92.2,95.40978241
Portugal,15772.7334,77.2195122,46.02039528,29.67,95.82024424,8.500073088,19.1,4375.732217,97.8,
Russian Federation,2975.132778,65.00756098,48.99579825,8.298860616,24.94148522,18.97823199,7.6,5478.14413,86.8,
Saudi Arabia,9186.310388,72.99460976,13.91591961,8.001582891,31.67389518,1.371354995,0,6250.479763,96,
El Salvador,2549.886636,69.58953659,40.18985945,2.5,19.06983255,5.118348317,10.7,704.4653477,69.3,96.25730133
Slovenia,14880.46899,76.85853659,45.71865982,31.85479301,87.33423456,6.42197545,12.2,6578.034236,99.4,95.69299316
Sweden,36961.42537,80.09512195,47.39865333,79.13,98.42587931,16.25806117,45.3,15360.17889,100,99.15897369
Tunisia,2790.004368,73.05121951,25.95428084,6.490845795,19.47260184,3.805322374,11.5,1004.187077,80,98.58550262
Turkey,4586.811203,71.57419512,28.82540867,12.33,42.29340126,1.932463938,4.4,1772.612557,88.1,97.14839935
Tanzania,325.5507737,53.28417073,49.67458552,0.676962857,3.530932149,1.409289501,21.4,67.16173947,45.4,80.72917175
Ukraine,1048.522488,68.21073171,49.30884211,3.148127588,13.59298,6.91831518,5.3,2997.974398,94,87.7902832
